"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Documentação";"25/07/2025 08:26:46";"25/07/2025 08:51:55";"00:25"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Abastecimento (Água)";"25/07/2025 08:37:14";"25/07/2025 08:38:18";"00:01"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Abastecimento (Água)";"25/07/2025 08:38:09";"25/07/2025 09:02:33";"00:24"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Pequenas manutenções";"25/07/2025 08:38:38";"25/07/2025 08:53:30";"00:15"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Pequenas manutenções";"25/07/2025 08:39:40";"25/07/2025 08:46:34";"00:07"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Documentação";"25/07/2025 08:41:33";"25/07/2025 09:08:42";"00:27"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Abastecimento (Água)";"25/07/2025 08:42:28";"25/07/2025 08:56:59";"00:15"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 03";"Documentação";"25/07/2025 08:42:50";"25/07/2025 09:36:55";"00:54"
"EAM3256";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Abastecimento (Água)";"25/07/2025 08:46:26";"25/07/2025 09:18:23";"00:32"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Troca de Equipamento";"25/07/2025 08:46:50";"25/07/2025 08:46:58";"00:00"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Aguardando Área";"25/07/2025 08:48:19";"25/07/2025 09:52:21";"01:04"
"EZS8764";"CAMINHÃO ALTA PRESSÃO - GPS - 03";"Documentação";"25/07/2025 08:48:34";"25/07/2025 09:39:22";"00:51"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Pequenas manutenções";"25/07/2025 08:51:51";"25/07/2025 09:10:07";"00:18"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Documentação";"25/07/2025 08:52:04";"25/07/2025 09:12:21";"00:20"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Preparação";"25/07/2025 08:52:19";"25/07/2025 09:39:13";"00:47"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Abastecimento (Água)";"25/07/2025 08:54:10";"25/07/2025 09:21:48";"00:28"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 04";"Aguardando carreta bascular";"25/07/2025 08:54:14";"25/07/2025 08:58:34";"00:04"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 06";"Aguardando Área";"25/07/2025 08:55:39";"25/07/2025 09:36:43";"00:41"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Aguardando Área";"25/07/2025 08:57:07";"25/07/2025 09:03:05";"00:06"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Documentação";"25/07/2025 08:57:51";"25/07/2025 09:18:42";"00:21"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Documentação";"25/07/2025 08:57:56";"25/07/2025 09:29:25";"00:31"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Documentação";"25/07/2025 09:04:01";"25/07/2025 09:42:31";"00:39"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"25/07/2025 09:05:59";"25/07/2025 09:32:46";"00:27"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Abastecimento (Água)";"25/07/2025 09:06:51";"25/07/2025 09:42:23";"00:36"
